referencia,nombre,categoria,precio,stock,costo
WH4932799,CREMONA CORR. E-15.5 C.VAR. C/LLAVE 1600-2200 (GVMCA. 1600-3),CREMONAS,21651,6,0
WH4932798,CREMONA CORR. E-15.5 C.VAR. C/LLAVE 600-1600 (GVMCA.600-2),CREMONAS,21490,6,0
WH4996829,CREMONA PRACT. E-15.5 C.VAR. 1220-1319 (GAVM.1220-3),CREMONAS,4340,6,0
WH4926295,CREMONA PRACT. E-15.5 C.FIJA 1300-1800 (GAM 1800-2),CREMONAS,4906,6,0
WH4996828,CREMONA PRACT. E-15.5 C.FIJA 1520-1819 (GAVM 1520-3),CREMONAS,5400,6,0
WH4926221,CREMONA PRACT. E-15.5 C.FIJA 420-520 (GAK 465),CREMONAS,2140,6,0
WH4927942,CREMONA PRACT. E-15.5 C.VAR. 1320-1519 (GAVM 1320-3),CREMONAS,4612,6,0
WH4927927,CREMONA PRACT. E-15.5 C.VAR. 175-299 (GAVM 175-1),CREMONAS,2742,6,0
WH4938163,CREMONA PRACT. E-15.5 C.VAR. 1800-2300 (GAVM 2300-3),CREMONAS,6535,6,0
WH4927943,CREMONA PRACT. E-15.5 C.VAR.1820-2019 (GAVM 1820-4),CREMONAS,6140,6,0
WH4996827,CREMONA PRACT. E-15.5 C.VAR.2220-3350 (GAVM 2020-4),CREMONAS,6807,6,0
WH4927928,CREMONA PRACT. E-15.5 C.VAR.300-419 (GAVM 300-2),CREMONAS,2638,6,0
WH4927929,CREMONA PRACT. E-15.5 C.VAR.420-619 (GAVM 420-2),CREMONAS,2761,6,0
WH4926267,CREMONA PRACT. E-15.5 C.VAR.510-800 (GAM 800),CREMONAS,2541,6,0
WH4927940,CREMONA PRACT. E-15.5 C.VAR.620-919 (GAVM 620-2),CREMONAS,3132,6,0
WH4926269,CREMONA PRACT. E-15.5 C.VAR.710-1050 (GAM 1050-1),CREMONAS,3082,6,0
WH4926291,CREMONA PRACT. E-15.5 C.VAR.900-1400 (GAM 1400-1),CREMONAS,3772,6,0
WH4927941,CREMONA PRACT. E-15.5 C.VAR.920-1219 (GAVM 920-3),CREMONAS,3995,6,0
WH1260656,CREMONA PRACT. E-25.5 C.VAR. (GAVM 1320-3 D25),CREMONAS,17660,6,0
WH1260658,CREMONA PRACT. E-25.5 C.VAR. (GAVM 1820-4 D25),CREMONAS,22548,6,0
WH1260372,CREMONA PRACT. E-25.5 C.VAR. (GAVM 300-2 D25),CREMONAS,10243,6,0
WH1260374,CREMONA PRACT. E-25.5 C.VAR. (GAVM 420-2 D25),CREMONAS,10419,6,0
WH1260652,CREMONA PRACT. E-25.5 C.VAR. (GAVM 620-2 D25),CREMONAS,11990,6,0
WH1260654,CREMONA PRACT. E-25.5 C.VAR. (GAVM 930-3 D25),CREMONAS,14665,6,0
WH4933319,CREMONA PRACT. E-25.5 C.VAR. 1300-1800 (GAM 1800-2 D25),CREMONAS,21504,6,0
WH4938167,CREMONA PRACT. E-25.5 C.VAR. 1800-2300 (GAM.2300-3. D25),CREMONAS,26410,6,0
WH4927099,CREMONA PRACT. E-25.5 C.VAR. 1800-2300 C/LLAVE (GAM.2300-3),CREMONAS,36076,6,0
